consumer,error_number,errors
Elaine Medeiros Lopes,1,"[{'Order_id': 2036, 'Product_id': 69, 'Product_name': 'barra de chocolate'}]"
Janaína Falcão Carmo,3,"[{'Order_id': 2037, 'Product_id': 39, 'Product_name': 'moto g10 plus'}, {'Order_id': 2038, 'Product_id': 20, 'Product_name': 'led rgb'}, {'Order_id': 2039, 'Product_id': 5, 'Product_name': 'led lights'}]"
Heloísa Correia Lopes,1,"[{'Order_id': 2040, 'Product_id': 29, 'Product_name': 'camera fotografica'}]"
Poliane Assis Damasceno,6,"[{'Order_id': 2041, 'Product_id': 6, 'Product_name': 'battery charger'}, {'Order_id': 2042, 'Product_id': 50, 'Product_name': 'gin'}, {'Order_id': 2043, 'Product_id': 56, 'Product_name': 'malbec'}, {'Order_id': 2044, 'Product_id': 24, 'Product_name': 'polaroid'}, {'Order_id': 2045, 'Product_id': 30, 'Product_name': 'moto g9'}, {'Order_id': 2046, 'Product_id': 1, 'Product_name': 'battery'}]"
Carina Damasceno,1,"[{'Order_id': 2049, 'Product_id': 40, 'Product_name': 'notebook samsung i7'}]"
Fernando Lopes Vargas,4,"[{'Order_id': 2050, 'Product_id': 61, 'Product_name': 'pasta'}, {'Order_id': 2051, 'Product_id': 31, 'Product_name': 'camera polaroid'}, {'Order_id': 2052, 'Product_id': 26, 'Product_name': 'nikon'}, {'Order_id': 2053, 'Product_id': 46, 'Product_name': 'vinho'}]"
Carlos Pacheco Paim,1,"[{'Order_id': 2054, 'Product_id': 1, 'Product_name': 'battery'}]"
Heloísa Nazário Cavalcanti,7,"[{'Order_id': 2057, 'Product_id': 25, 'Product_name': 's20 fe'}, {'Order_id': 2058, 'Product_id': 46, 'Product_name': 'vinho'}, {'Order_id': 2059, 'Product_id': 15, 'Product_name': 'switch controller'}, {'Order_id': 2060, 'Product_id': 60, 'Product_name': 'cacau show'}, {'Order_id': 2061, 'Product_id': 36, 'Product_name': 'ipad'}, {'Order_id': 2062, 'Product_id': 8, 'Product_name': 'car battery'}, {'Order_id': 2063, 'Product_id': 66, 'Product_name': 'leite condensado'}]"
Émerson da Silva,5,"[{'Order_id': 2064, 'Product_id': 39, 'Product_name': 'moto g10 plus'}, {'Order_id': 2066, 'Product_id': 48, 'Product_name': 'cerveja'}, {'Order_id': 2067, 'Product_id': 3, 'Product_name': 'batteries'}, {'Order_id': 2068, 'Product_id': 36, 'Product_name': 'ipad'}, {'Order_id': 2069, 'Product_id': 59, 'Product_name': 'doces'}]"
Poliane Arruda,5,"[{'Order_id': 2071, 'Product_id': 16, 'Product_name': 'fichario'}, {'Order_id': 2072, 'Product_id': 60, 'Product_name': 'cacau show'}, {'Order_id': 2073, 'Product_id': 55, 'Product_name': 'mercado livre'}, {'Order_id': 2074, 'Product_id': 55, 'Product_name': 'mercado livre'}, {'Order_id': 2075, 'Product_id': 8, 'Product_name': 'car battery'}]"
Émerson Paim,3,"[{'Order_id': 2076, 'Product_id': 21, 'Product_name': 'camera'}, {'Order_id': 2077, 'Product_id': 43, 'Product_name': 'moto g 10'}, {'Order_id': 2078, 'Product_id': 12, 'Product_name': 'multimeter'}]"
Beatriz Gimenes Paschoal,6,"[{'Order_id': 2079, 'Product_id': 32, 'Product_name': 'instax mini'}, {'Order_id': 2080, 'Product_id': 30, 'Product_name': 'moto g9'}, {'Order_id': 2082, 'Product_id': 47, 'Product_name': 'chocolate'}, {'Order_id': 2083, 'Product_id': 63, 'Product_name': 'cafeteira'}, {'Order_id': 2084, 'Product_id': 16, 'Product_name': 'fichario'}, {'Order_id': 2085, 'Product_id': 44, 'Product_name': 'camera de segurança wifi'}]"
Gilmar Cavalcanti Correia,2,"[{'Order_id': 2086, 'Product_id': 15, 'Product_name': 'switch controller'}, {'Order_id': 2087, 'Product_id': 40, 'Product_name': 'notebook samsung i7'}]"
Nicolas da Cruz Machado,1,"[{'Order_id': 2088, 'Product_id': 59, 'Product_name': 'doces'}]"
Émerson Carmo,3,"[{'Order_id': 2089, 'Product_id': 41, 'Product_name': 'samsung s20 fe'}, {'Order_id': 2090, 'Product_id': 62, 'Product_name': 'carrefour'}, {'Order_id': 2091, 'Product_id': 18, 'Product_name': 'arduino'}]"
Fernando Simões Correia,2,"[{'Order_id': 2092, 'Product_id': 32, 'Product_name': 'instax mini'}, {'Order_id': 2093, 'Product_id': 20, 'Product_name': 'led rgb'}]"
Fabiana Paim Assis,5,"[{'Order_id': 2094, 'Product_id': 69, 'Product_name': 'barra de chocolate'}, {'Order_id': 2095, 'Product_id': 63, 'Product_name': 'cafeteira'}, {'Order_id': 2096, 'Product_id': 13, 'Product_name': 'led strip'}, {'Order_id': 2097, 'Product_id': 12, 'Product_name': 'multimeter'}, {'Order_id': 2098, 'Product_id': 13, 'Product_name': 'led strip'}]"
Taís Ruiz,2,"[{'Order_id': 2100, 'Product_id': 49, 'Product_name': 'whisky'}, {'Order_id': 2101, 'Product_id': 6, 'Product_name': 'battery charger'}]"
Poliane Paschoal Lima,5,"[{'Order_id': 2102, 'Product_id': 32, 'Product_name': 'instax mini'}, {'Order_id': 2103, 'Product_id': 46, 'Product_name': 'vinho'}, {'Order_id': 2104, 'Product_id': 32, 'Product_name': 'instax mini'}, {'Order_id': 2105, 'Product_id': 36, 'Product_name': 'ipad'}, {'Order_id': 2106, 'Product_id': 3, 'Product_name': 'batteries'}]"
Kléber Monteiro,4,"[{'Order_id': 2107, 'Product_id': 30, 'Product_name': 'moto g9'}, {'Order_id': 2108, 'Product_id': 70, 'Product_name': 'leite ninho'}, {'Order_id': 2110, 'Product_id': 61, 'Product_name': 'pasta'}, {'Order_id': 2111, 'Product_id': 46, 'Product_name': 'vinho'}]"
Carlos da Cunha,1,"[{'Order_id': 2112, 'Product_id': 45, 'Product_name': 'instax mini 11'}]"
Nicolas Assis,1,"[{'Order_id': 2113, 'Product_id': 40, 'Product_name': 'notebook samsung i7'}]"
Janaína Leal,4,"[{'Order_id': 2114, 'Product_id': 64, 'Product_name': 'heineken'}, {'Order_id': 2115, 'Product_id': 24, 'Product_name': 'polaroid'}, {'Order_id': 2117, 'Product_id': 43, 'Product_name': 'moto g 10'}, {'Order_id': 2118, 'Product_id': 9, 'Product_name': 'fluke'}]"
Valdomiro Leal Vargas,3,"[{'Order_id': 2119, 'Product_id': 67, 'Product_name': 'cortina para sala'}, {'Order_id': 2121, 'Product_id': 66, 'Product_name': 'leite condensado'}, {'Order_id': 2123, 'Product_id': 31, 'Product_name': 'camera polaroid'}]"
Valdomiro Lobo,7,"[{'Order_id': 2124, 'Product_id': 27, 'Product_name': 'camera canon'}, {'Order_id': 2125, 'Product_id': 1, 'Product_name': 'battery'}, {'Order_id': 2126, 'Product_id': 44, 'Product_name': 'camera de segurança wifi'}, {'Order_id': 2127, 'Product_id': 35, 'Product_name': 'monitor ultrawide'}, {'Order_id': 2128, 'Product_id': 6, 'Product_name': 'battery charger'}, {'Order_id': 2129, 'Product_id': 44, 'Product_name': 'camera de segurança wifi'}, {'Order_id': 2130, 'Product_id': 6, 'Product_name': 'battery charger'}]"
Adriano Silveira,3,"[{'Order_id': 2131, 'Product_id': 49, 'Product_name': 'whisky'}, {'Order_id': 2132, 'Product_id': 10, 'Product_name': 'laser'}, {'Order_id': 2133, 'Product_id': 29, 'Product_name': 'camera fotografica'}]"
Janaína Gimenes Pedroso,2,"[{'Order_id': 2134, 'Product_id': 70, 'Product_name': 'leite ninho'}, {'Order_id': 2136, 'Product_id': 9, 'Product_name': 'fluke'}]"
Fabiana Vaz Gimenes,7,"[{'Order_id': 2139, 'Product_id': 23, 'Product_name': 'moto g10'}, {'Order_id': 2140, 'Product_id': 50, 'Product_name': 'gin'}, {'Order_id': 2141, 'Product_id': 34, 'Product_name': 'papel de parede cinza'}, {'Order_id': 2142, 'Product_id': 30, 'Product_name': 'moto g9'}, {'Order_id': 2143, 'Product_id': 70, 'Product_name': 'leite ninho'}, {'Order_id': 2144, 'Product_id': 29, 'Product_name': 'camera fotografica'}, {'Order_id': 2145, 'Product_id': 54, 'Product_name': 'vodka'}]"
Carina de Salles Oliveira,3,"[{'Order_id': 2146, 'Product_id': 17, 'Product_name': 'bateria carro'}, {'Order_id': 2147, 'Product_id': 46, 'Product_name': 'vinho'}, {'Order_id': 2148, 'Product_id': 18, 'Product_name': 'arduino'}]"
Isabela Gimenes Correia,7,"[{'Order_id': 2149, 'Product_id': 24, 'Product_name': 'polaroid'}, {'Order_id': 2150, 'Product_id': 40, 'Product_name': 'notebook samsung i7'}, {'Order_id': 2151, 'Product_id': 67, 'Product_name': 'cortina para sala'}, {'Order_id': 2152, 'Product_id': 69, 'Product_name': 'barra de chocolate'}, {'Order_id': 2153, 'Product_id': 43, 'Product_name': 'moto g 10'}, {'Order_id': 2154, 'Product_id': 17, 'Product_name': 'bateria carro'}, {'Order_id': 2155, 'Product_id': 49, 'Product_name': 'whisky'}]"
Poliane Lobo,3,"[{'Order_id': 2156, 'Product_id': 21, 'Product_name': 'camera'}, {'Order_id': 2157, 'Product_id': 13, 'Product_name': 'led strip'}, {'Order_id': 2158, 'Product_id': 28, 'Product_name': 'instax'}]"
Poliane Machado Vaz,7,"[{'Order_id': 2160, 'Product_id': 18, 'Product_name': 'arduino'}, {'Order_id': 2161, 'Product_id': 68, 'Product_name': 'açúcar'}, {'Order_id': 2162, 'Product_id': 6, 'Product_name': 'battery charger'}, {'Order_id': 2163, 'Product_id': 59, 'Product_name': 'doces'}, {'Order_id': 2164, 'Product_id': 60, 'Product_name': 'cacau show'}, {'Order_id': 2165, 'Product_id': 5, 'Product_name': 'led lights'}, {'Order_id': 2166, 'Product_id': 58, 'Product_name': 'espumante'}]"
Émerson Lima Gimenes,3,"[{'Order_id': 2168, 'Product_id': 1, 'Product_name': 'battery'}, {'Order_id': 2169, 'Product_id': 8, 'Product_name': 'car battery'}, {'Order_id': 2170, 'Product_id': 66, 'Product_name': 'leite condensado'}]"
Isabela Medeiros Lobo,1,"[{'Order_id': 2174, 'Product_id': 9, 'Product_name': 'fluke'}]"
Gilmar Damasceno Velho,3,"[{'Order_id': 2175, 'Product_id': 59, 'Product_name': 'doces'}, {'Order_id': 2176, 'Product_id': 5, 'Product_name': 'led lights'}, {'Order_id': 2177, 'Product_id': 58, 'Product_name': 'espumante'}]"
Kléber Gimenes Silveira,4,"[{'Order_id': 2178, 'Product_id': 4, 'Product_name': 'power supply'}, {'Order_id': 2179, 'Product_id': 68, 'Product_name': 'açúcar'}, {'Order_id': 2181, 'Product_id': 15, 'Product_name': 'switch controller'}, {'Order_id': 2182, 'Product_id': 70, 'Product_name': 'leite ninho'}]"
Heloísa Braz Silveira,6,"[{'Order_id': 2184, 'Product_id': 38, 'Product_name': 'motorola g10'}, {'Order_id': 2185, 'Product_id': 63, 'Product_name': 'cafeteira'}, {'Order_id': 2186, 'Product_id': 36, 'Product_name': 'ipad'}, {'Order_id': 2187, 'Product_id': 4, 'Product_name': 'power supply'}, {'Order_id': 2188, 'Product_id': 48, 'Product_name': 'cerveja'}, {'Order_id': 2189, 'Product_id': 24, 'Product_name': 'polaroid'}]"
Émerson Medeiros Medeiros,2,"[{'Order_id': 2190, 'Product_id': 54, 'Product_name': 'vodka'}, {'Order_id': 2191, 'Product_id': 56, 'Product_name': 'malbec'}]"
Fabiana Farias Oliveira,6,"[{'Order_id': 2192, 'Product_id': 37, 'Product_name': 'moto g9 plus'}, {'Order_id': 2193, 'Product_id': 43, 'Product_name': 'moto g 10'}, {'Order_id': 2194, 'Product_id': 28, 'Product_name': 'instax'}, {'Order_id': 2195, 'Product_id': 62, 'Product_name': 'carrefour'}, {'Order_id': 2196, 'Product_id': 53, 'Product_name': 'jack daniels'}, {'Order_id': 2198, 'Product_id': 58, 'Product_name': 'espumante'}]"
Taís Lopes Braga,3,"[{'Order_id': 2199, 'Product_id': 24, 'Product_name': 'polaroid'}, {'Order_id': 2200, 'Product_id': 43, 'Product_name': 'moto g 10'}, {'Order_id': 2201, 'Product_id': 35, 'Product_name': 'monitor ultrawide'}]"
Poliane Paim,2,"[{'Order_id': 2202, 'Product_id': 22, 'Product_name': 'câmera'}, {'Order_id': 2203, 'Product_id': 8, 'Product_name': 'car battery'}]"
Carlos Carmo da Cunha,7,"[{'Order_id': 2205, 'Product_id': 53, 'Product_name': 'jack daniels'}, {'Order_id': 2206, 'Product_id': 3, 'Product_name': 'batteries'}, {'Order_id': 2207, 'Product_id': 62, 'Product_name': 'carrefour'}, {'Order_id': 2208, 'Product_id': 56, 'Product_name': 'malbec'}, {'Order_id': 2209, 'Product_id': 31, 'Product_name': 'camera polaroid'}, {'Order_id': 2210, 'Product_id': 61, 'Product_name': 'pasta'}, {'Order_id': 2211, 'Product_id': 66, 'Product_name': 'leite condensado'}]"
Janaína Oliveira,7,"[{'Order_id': 2212, 'Product_id': 48, 'Product_name': 'cerveja'}, {'Order_id': 2213, 'Product_id': 63, 'Product_name': 'cafeteira'}, {'Order_id': 2214, 'Product_id': 37, 'Product_name': 'moto g9 plus'}, {'Order_id': 2215, 'Product_id': 8, 'Product_name': 'car battery'}, {'Order_id': 2216, 'Product_id': 59, 'Product_name': 'doces'}, {'Order_id': 2217, 'Product_id': 9, 'Product_name': 'fluke'}, {'Order_id': 2218, 'Product_id': 39, 'Product_name': 'moto g10 plus'}]"
Isabela Silveira Assis,5,"[{'Order_id': 2219, 'Product_id': 53, 'Product_name': 'jack daniels'}, {'Order_id': 2220, 'Product_id': 2, 'Product_name': 'bateria'}, {'Order_id': 2221, 'Product_id': 15, 'Product_name': 'switch controller'}, {'Order_id': 2223, 'Product_id': 2, 'Product_name': 'bateria'}, {'Order_id': 2225, 'Product_id': 55, 'Product_name': 'mercado livre'}]"
Carlos Correia Gimenes,2,"[{'Order_id': 2226, 'Product_id': 29, 'Product_name': 'camera fotografica'}, {'Order_id': 2228, 'Product_id': 27, 'Product_name': 'camera canon'}]"
Heloísa Leal,4,"[{'Order_id': 2229, 'Product_id': 24, 'Product_name': 'polaroid'}, {'Order_id': 2230, 'Product_id': 34, 'Product_name': 'papel de parede cinza'}, {'Order_id': 2232, 'Product_id': 38, 'Product_name': 'motorola g10'}, {'Order_id': 2233, 'Product_id': 43, 'Product_name': 'moto g 10'}]"
Carina da Cunha Correia,6,"[{'Order_id': 2234, 'Product_id': 63, 'Product_name': 'cafeteira'}, {'Order_id': 2235, 'Product_id': 5, 'Product_name': 'led lights'}, {'Order_id': 2237, 'Product_id': 47, 'Product_name': 'chocolate'}, {'Order_id': 2238, 'Product_id': 48, 'Product_name': 'cerveja'}, {'Order_id': 2239, 'Product_id': 3, 'Product_name': 'batteries'}, {'Order_id': 2240, 'Product_id': 50, 'Product_name': 'gin'}]"
Carlos Assis,4,"[{'Order_id': 2241, 'Product_id': 56, 'Product_name': 'malbec'}, {'Order_id': 2242, 'Product_id': 17, 'Product_name': 'bateria carro'}, {'Order_id': 2243, 'Product_id': 59, 'Product_name': 'doces'}, {'Order_id': 2244, 'Product_id': 60, 'Product_name': 'cacau show'}]"
Gilmar Ito Braz,4,"[{'Order_id': 2245, 'Product_id': 24, 'Product_name': 'polaroid'}, {'Order_id': 2246, 'Product_id': 63, 'Product_name': 'cafeteira'}, {'Order_id': 2247, 'Product_id': 21, 'Product_name': 'camera'}, {'Order_id': 2248, 'Product_id': 34, 'Product_name': 'papel de parede cinza'}]"
Carlos da Cruz Braz,3,"[{'Order_id': 2250, 'Product_id': 4, 'Product_name': 'power supply'}, {'Order_id': 2251, 'Product_id': 42, 'Product_name': 'papel de parede branco'}, {'Order_id': 2252, 'Product_id': 6, 'Product_name': 'battery charger'}]"
Rafael Leal Silveira,2,"[{'Order_id': 2254, 'Product_id': 17, 'Product_name': 'bateria carro'}, {'Order_id': 2255, 'Product_id': 57, 'Product_name': 'dolce gusto'}]"
Kléber Correia de Salles,5,"[{'Order_id': 2256, 'Product_id': 14, 'Product_name': 'carregador iphone'}, {'Order_id': 2258, 'Product_id': 23, 'Product_name': 'moto g10'}, {'Order_id': 2259, 'Product_id': 56, 'Product_name': 'malbec'}, {'Order_id': 2260, 'Product_id': 42, 'Product_name': 'papel de parede branco'}, {'Order_id': 2261, 'Product_id': 10, 'Product_name': 'laser'}]"
Janaína Vaz Paschoal,2,"[{'Order_id': 2263, 'Product_id': 30, 'Product_name': 'moto g9'}, {'Order_id': 2264, 'Product_id': 16, 'Product_name': 'fichario'}]"
Nicole Quadros Carmo,6,"[{'Order_id': 2265, 'Product_id': 31, 'Product_name': 'camera polaroid'}, {'Order_id': 2266, 'Product_id': 69, 'Product_name': 'barra de chocolate'}, {'Order_id': 2267, 'Product_id': 43, 'Product_name': 'moto g 10'}, {'Order_id': 2269, 'Product_id': 55, 'Product_name': 'mercado livre'}, {'Order_id': 2270, 'Product_id': 59, 'Product_name': 'doces'}, {'Order_id': 2271, 'Product_id': 13, 'Product_name': 'led strip'}]"
Carina Vargas,2,"[{'Order_id': 2272, 'Product_id': 68, 'Product_name': 'açúcar'}, {'Order_id': 2274, 'Product_id': 49, 'Product_name': 'whisky'}]"
Valdomiro Damasceno,5,"[{'Order_id': 2275, 'Product_id': 31, 'Product_name': 'camera polaroid'}, {'Order_id': 2276, 'Product_id': 59, 'Product_name': 'doces'}, {'Order_id': 2277, 'Product_id': 28, 'Product_name': 'instax'}, {'Order_id': 2278, 'Product_id': 12, 'Product_name': 'multimeter'}, {'Order_id': 2279, 'Product_id': 62, 'Product_name': 'carrefour'}]"
Rafael Braga Velho,3,"[{'Order_id': 2281, 'Product_id': 9, 'Product_name': 'fluke'}, {'Order_id': 2282, 'Product_id': 58, 'Product_name': 'espumante'}, {'Order_id': 2283, 'Product_id': 44, 'Product_name': 'camera de segurança wifi'}]"
Émerson Gimenes,3,"[{'Order_id': 2284, 'Product_id': 1, 'Product_name': 'battery'}, {'Order_id': 2285, 'Product_id': 40, 'Product_name': 'notebook samsung i7'}, {'Order_id': 2286, 'Product_id': 8, 'Product_name': 'car battery'}]"
Fernando Braz,5,"[{'Order_id': 2288, 'Product_id': 26, 'Product_name': 'nikon'}, {'Order_id': 2290, 'Product_id': 29, 'Product_name': 'camera fotografica'}, {'Order_id': 2291, 'Product_id': 39, 'Product_name': 'moto g10 plus'}, {'Order_id': 2292, 'Product_id': 56, 'Product_name': 'malbec'}, {'Order_id': 2293, 'Product_id': 45, 'Product_name': 'instax mini 11'}]"
Émerson Ito,3,"[{'Order_id': 2294, 'Product_id': 56, 'Product_name': 'malbec'}, {'Order_id': 2296, 'Product_id': 36, 'Product_name': 'ipad'}, {'Order_id': 2297, 'Product_id': 50, 'Product_name': 'gin'}]"
Fernando Simões Pedroso,4,"[{'Order_id': 2298, 'Product_id': 65, 'Product_name': 'morango'}, {'Order_id': 2299, 'Product_id': 46, 'Product_name': 'vinho'}, {'Order_id': 2300, 'Product_id': 50, 'Product_name': 'gin'}, {'Order_id': 2301, 'Product_id': 37, 'Product_name': 'moto g9 plus'}]"
Antônio de Salles Vaz,1,"[{'Order_id': 2302, 'Product_id': 26, 'Product_name': 'nikon'}]"
Carlos Leal de Salles,4,"[{'Order_id': 2303, 'Product_id': 10, 'Product_name': 'laser'}, {'Order_id': 2304, 'Product_id': 18, 'Product_name': 'arduino'}, {'Order_id': 2305, 'Product_id': 67, 'Product_name': 'cortina para sala'}, {'Order_id': 2306, 'Product_id': 1, 'Product_name': 'battery'}]"
Nicolas Paschoal,5,"[{'Order_id': 2307, 'Product_id': 48, 'Product_name': 'cerveja'}, {'Order_id': 2308, 'Product_id': 68, 'Product_name': 'açúcar'}, {'Order_id': 2309, 'Product_id': 69, 'Product_name': 'barra de chocolate'}, {'Order_id': 2310, 'Product_id': 11, 'Product_name': 'kabel'}, {'Order_id': 2312, 'Product_id': 11, 'Product_name': 'kabel'}]"
Fernando Paim,6,"[{'Order_id': 2313, 'Product_id': 16, 'Product_name': 'fichario'}, {'Order_id': 2314, 'Product_id': 52, 'Product_name': 'bebedouro'}, {'Order_id': 2315, 'Product_id': 53, 'Product_name': 'jack daniels'}, {'Order_id': 2316, 'Product_id': 4, 'Product_name': 'power supply'}, {'Order_id': 2317, 'Product_id': 65, 'Product_name': 'morango'}, {'Order_id': 2318, 'Product_id': 40, 'Product_name': 'notebook samsung i7'}]"
Beatriz da Cruz,2,"[{'Order_id': 2319, 'Product_id': 29, 'Product_name': 'camera fotografica'}, {'Order_id': 2320, 'Product_id': 60, 'Product_name': 'cacau show'}]"
Carina Ito Monteiro,5,"[{'Order_id': 2321, 'Product_id': 62, 'Product_name': 'carrefour'}, {'Order_id': 2322, 'Product_id': 35, 'Product_name': 'monitor ultrawide'}, {'Order_id': 2323, 'Product_id': 23, 'Product_name': 'moto g10'}, {'Order_id': 2325, 'Product_id': 1, 'Product_name': 'battery'}, {'Order_id': 2327, 'Product_id': 63, 'Product_name': 'cafeteira'}]"
Kléber Silveira da Silva,6,"[{'Order_id': 2328, 'Product_id': 7, 'Product_name': 'trash can'}, {'Order_id': 2329, 'Product_id': 53, 'Product_name': 'jack daniels'}, {'Order_id': 2330, 'Product_id': 28, 'Product_name': 'instax'}, {'Order_id': 2331, 'Product_id': 34, 'Product_name': 'papel de parede cinza'}, {'Order_id': 2332, 'Product_id': 52, 'Product_name': 'bebedouro'}, {'Order_id': 2333, 'Product_id': 8, 'Product_name': 'car battery'}]"
Rafael Damasceno Quadros,6,"[{'Order_id': 2334, 'Product_id': 43, 'Product_name': 'moto g 10'}, {'Order_id': 2335, 'Product_id': 68, 'Product_name': 'açúcar'}, {'Order_id': 2336, 'Product_id': 7, 'Product_name': 'trash can'}, {'Order_id': 2337, 'Product_id': 50, 'Product_name': 'gin'}, {'Order_id': 2338, 'Product_id': 10, 'Product_name': 'laser'}, {'Order_id': 2339, 'Product_id': 47, 'Product_name': 'chocolate'}]"
Elaine Machado,2,"[{'Order_id': 2340, 'Product_id': 43, 'Product_name': 'moto g 10'}, {'Order_id': 2341, 'Product_id': 67, 'Product_name': 'cortina para sala'}]"
Fabiana Falcão Lopes,2,"[{'Order_id': 2342, 'Product_id': 23, 'Product_name': 'moto g10'}, {'Order_id': 2343, 'Product_id': 7, 'Product_name': 'trash can'}]"
Taís Nazário,6,"[{'Order_id': 2344, 'Product_id': 34, 'Product_name': 'papel de parede cinza'}, {'Order_id': 2345, 'Product_id': 50, 'Product_name': 'gin'}, {'Order_id': 2346, 'Product_id': 40, 'Product_name': 'notebook samsung i7'}, {'Order_id': 2347, 'Product_id': 4, 'Product_name': 'power supply'}, {'Order_id': 2348, 'Product_id': 3, 'Product_name': 'batteries'}, {'Order_id': 2349, 'Product_id': 22, 'Product_name': 'câmera'}]"
Kléber Braga,5,"[{'Order_id': 2351, 'Product_id': 12, 'Product_name': 'multimeter'}, {'Order_id': 2353, 'Product_id': 23, 'Product_name': 'moto g10'}, {'Order_id': 2354, 'Product_id': 70, 'Product_name': 'leite ninho'}, {'Order_id': 2355, 'Product_id': 1, 'Product_name': 'battery'}, {'Order_id': 2356, 'Product_id': 37, 'Product_name': 'moto g9 plus'}]"
Heloísa da Cunha,1,"[{'Order_id': 2357, 'Product_id': 27, 'Product_name': 'camera canon'}]"
Fabiana Pedroso Oliveira,1,"[{'Order_id': 2359, 'Product_id': 37, 'Product_name': 'moto g9 plus'}]"
Heloísa Pacheco Ruiz,3,"[{'Order_id': 2361, 'Product_id': 23, 'Product_name': 'moto g10'}, {'Order_id': 2362, 'Product_id': 28, 'Product_name': 'instax'}, {'Order_id': 2363, 'Product_id': 7, 'Product_name': 'trash can'}]"
Fernando Arruda Velho,2,"[{'Order_id': 2364, 'Product_id': 60, 'Product_name': 'cacau show'}, {'Order_id': 2365, 'Product_id': 4, 'Product_name': 'power supply'}]"
Taís Braga Paschoal,4,"[{'Order_id': 2366, 'Product_id': 25, 'Product_name': 's20 fe'}, {'Order_id': 2367, 'Product_id': 51, 'Product_name': 'queijo'}, {'Order_id': 2368, 'Product_id': 20, 'Product_name': 'led rgb'}, {'Order_id': 2369, 'Product_id': 17, 'Product_name': 'bateria carro'}]"
Taís Paim,1,"[{'Order_id': 2370, 'Product_id': 49, 'Product_name': 'whisky'}]"
Valdomiro Gimenes Gimenes,2,"[{'Order_id': 2371, 'Product_id': 20, 'Product_name': 'led rgb'}, {'Order_id': 2372, 'Product_id': 3, 'Product_name': 'batteries'}]"
Nicolas Lobo,3,"[{'Order_id': 2373, 'Product_id': 67, 'Product_name': 'cortina para sala'}, {'Order_id': 2374, 'Product_id': 44, 'Product_name': 'camera de segurança wifi'}, {'Order_id': 2376, 'Product_id': 50, 'Product_name': 'gin'}]"
Elaine Velho,3,"[{'Order_id': 2378, 'Product_id': 65, 'Product_name': 'morango'}, {'Order_id': 2379, 'Product_id': 36, 'Product_name': 'ipad'}, {'Order_id': 2380, 'Product_id': 4, 'Product_name': 'power supply'}]"
Kléber Pedroso Barroso,1,"[{'Order_id': 2381, 'Product_id': 47, 'Product_name': 'chocolate'}]"
Gilmar da Cunha,3,"[{'Order_id': 2382, 'Product_id': 65, 'Product_name': 'morango'}, {'Order_id': 2383, 'Product_id': 42, 'Product_name': 'papel de parede branco'}, {'Order_id': 2384, 'Product_id': 17, 'Product_name': 'bateria carro'}]"
Isabela Lopes da Cunha,5,"[{'Order_id': 2385, 'Product_id': 65, 'Product_name': 'morango'}, {'Order_id': 2386, 'Product_id': 47, 'Product_name': 'chocolate'}, {'Order_id': 2387, 'Product_id': 16, 'Product_name': 'fichario'}, {'Order_id': 2389, 'Product_id': 18, 'Product_name': 'arduino'}, {'Order_id': 2390, 'Product_id': 42, 'Product_name': 'papel de parede branco'}]"
Rafael Oliveira,7,"[{'Order_id': 2391, 'Product_id': 67, 'Product_name': 'cortina para sala'}, {'Order_id': 2392, 'Product_id': 42, 'Product_name': 'papel de parede branco'}, {'Order_id': 2393, 'Product_id': 52, 'Product_name': 'bebedouro'}, {'Order_id': 2394, 'Product_id': 54, 'Product_name': 'vodka'}, {'Order_id': 2395, 'Product_id': 38, 'Product_name': 'motorola g10'}, {'Order_id': 2396, 'Product_id': 54, 'Product_name': 'vodka'}, {'Order_id': 2397, 'Product_id': 43, 'Product_name': 'moto g 10'}]"
Antônio Silveira Gimenes,2,"[{'Order_id': 2399, 'Product_id': 55, 'Product_name': 'mercado livre'}, {'Order_id': 2400, 'Product_id': 17, 'Product_name': 'bateria carro'}]"
Carlos Monteiro,1,"[{'Order_id': 2401, 'Product_id': 9, 'Product_name': 'fluke'}]"
Carina Leal,1,"[{'Order_id': 2403, 'Product_id': 16, 'Product_name': 'fichario'}]"
Rafael da Cunha Gimenes,3,"[{'Order_id': 2405, 'Product_id': 18, 'Product_name': 'arduino'}, {'Order_id': 2406, 'Product_id': 14, 'Product_name': 'carregador iphone'}, {'Order_id': 2410, 'Product_id': 26, 'Product_name': 'nikon'}]"
Nicolas Gimenes Machado,5,"[{'Order_id': 2412, 'Product_id': 19, 'Product_name': 'bateria de carro'}, {'Order_id': 2413, 'Product_id': 11, 'Product_name': 'kabel'}, {'Order_id': 2415, 'Product_id': 33, 'Product_name': 'câmera fotográfica'}, {'Order_id': 2416, 'Product_id': 31, 'Product_name': 'camera polaroid'}, {'Order_id': 2417, 'Product_id': 24, 'Product_name': 'polaroid'}]"
Kléber Fraga,6,"[{'Order_id': 2418, 'Product_id': 62, 'Product_name': 'carrefour'}, {'Order_id': 2419, 'Product_id': 41, 'Product_name': 'samsung s20 fe'}, {'Order_id': 2420, 'Product_id': 28, 'Product_name': 'instax'}, {'Order_id': 2421, 'Product_id': 23, 'Product_name': 'moto g10'}, {'Order_id': 2422, 'Product_id': 50, 'Product_name': 'gin'}, {'Order_id': 2423, 'Product_id': 46, 'Product_name': 'vinho'}]"
